episode,step,episodic_return,episode_length,elapsed_sec
1,50,-50.0,50.0,0.11662578582763672
2,100,-50.0,50.0,0.23387408256530762
3,150,-50.0,50.0,0.3329465389251709
4,200,-50.0,50.0,0.42299509048461914
5,250,-50.0,50.0,0.5207505226135254
6,300,-50.0,50.0,0.6237401962280273
7,350,-50.0,50.0,0.7105839252471924
8,400,-50.0,50.0,0.797595739364624
9,450,-50.0,50.0,0.8874809741973877
10,500,-50.0,50.0,0.9664821624755859
11,550,-50.0,50.0,1.0511291027069092
12,600,-50.0,50.0,1.1438512802124023
13,650,-50.0,50.0,1.2267494201660156
14,700,-50.0,50.0,1.3307387828826904
15,750,-50.0,50.0,1.4227910041809082
16,800,-50.0,50.0,1.5126609802246094
17,850,-50.0,50.0,1.60042142868042
18,900,-50.0,50.0,1.6974425315856934
19,950,-50.0,50.0,1.7837257385253906
20,1000,-50.0,50.0,1.8688104152679443
21,1050,-50.0,50.0,1.953730821609497
22,1100,-50.0,50.0,2.0383732318878174
23,1150,-50.0,50.0,2.1256179809570312
24,1200,-50.0,50.0,2.2126238346099854
25,1250,-50.0,50.0,2.2948665618896484
26,1300,-50.0,50.0,2.378533363342285
27,1350,-50.0,50.0,2.4567291736602783
28,1400,-50.0,50.0,2.5448710918426514
29,1450,-50.0,50.0,2.636741876602173
30,1500,-50.0,50.0,2.734281063079834
31,1550,-50.0,50.0,2.811397075653076
32,1600,-50.0,50.0,2.8909945487976074
33,1650,-50.0,50.0,2.9827346801757812
34,1700,-50.0,50.0,3.075112819671631
35,1750,-50.0,50.0,3.1810452938079834
36,1800,-50.0,50.0,3.2794294357299805
37,1850,-50.0,50.0,3.394622325897217
38,1900,-50.0,50.0,3.5198612213134766
39,1950,-50.0,50.0,3.6253628730773926
40,2000,-50.0,50.0,3.718836784362793
41,2050,-50.0,50.0,3.8122975826263428
42,2100,-50.0,50.0,3.9094085693359375
43,2150,-50.0,50.0,4.009638071060181
44,2200,-50.0,50.0,4.1464128494262695
45,2250,-50.0,50.0,4.268534898757935
46,2300,-50.0,50.0,4.387643814086914
47,2350,-50.0,50.0,4.540687084197998
48,2400,-50.0,50.0,4.701511859893799
49,2450,-50.0,50.0,4.849679231643677
50,2500,-50.0,50.0,4.976377487182617
51,2550,-50.0,50.0,5.080787897109985
52,2600,-50.0,50.0,5.184670448303223
53,2650,-50.0,50.0,5.280403137207031
54,2700,-50.0,50.0,5.364389181137085
55,2750,-50.0,50.0,5.457977771759033
56,2800,-50.0,50.0,5.567500114440918
57,2850,-50.0,50.0,5.688551664352417
58,2900,-50.0,50.0,5.792015552520752
59,2950,-50.0,50.0,5.9013190269470215
60,3000,-50.0,50.0,6.0535569190979
61,3050,-50.0,50.0,6.15789270401001
62,3100,-50.0,50.0,6.25775671005249
63,3150,-50.0,50.0,6.364866495132446
64,3200,-50.0,50.0,6.4834418296813965
65,3250,-50.0,50.0,6.664256572723389
66,3300,-50.0,50.0,6.781358003616333
67,3350,-50.0,50.0,6.9907546043396
68,3400,-50.0,50.0,7.109464406967163
69,3450,-50.0,50.0,7.217737674713135
70,3500,-50.0,50.0,7.3197503089904785
71,3550,-50.0,50.0,7.421528100967407
72,3600,-50.0,50.0,7.515233755111694
73,3650,-50.0,50.0,7.608316659927368
74,3700,-50.0,50.0,7.721618890762329
75,3750,-50.0,50.0,7.824846982955933
76,3800,-50.0,50.0,7.921416759490967
77,3850,-50.0,50.0,8.002760648727417
78,3900,-50.0,50.0,8.095552206039429
79,3950,-50.0,50.0,8.192610502243042
80,4000,-50.0,50.0,8.281698942184448
81,4050,-50.0,50.0,8.370516777038574
82,4100,-50.0,50.0,8.456504583358765
83,4150,-50.0,50.0,8.54683256149292
84,4200,-50.0,50.0,8.636588335037231
85,4250,-50.0,50.0,8.726345300674438
86,4300,-50.0,50.0,8.822734832763672
87,4350,-50.0,50.0,8.907525539398193
88,4400,-50.0,50.0,8.992405652999878
89,4450,-50.0,50.0,9.074363470077515
90,4500,-50.0,50.0,9.16471815109253
91,4550,-50.0,50.0,9.249515533447266
92,4600,-50.0,50.0,9.332663536071777
93,4650,-50.0,50.0,9.433766603469849
94,4700,-50.0,50.0,9.518625736236572
95,4750,-50.0,50.0,9.61259388923645
96,4800,-50.0,50.0,9.69208836555481
97,4850,-50.0,50.0,9.783488750457764
98,4900,-50.0,50.0,9.885761976242065
99,4950,-50.0,50.0,9.984476804733276
100,5000,-50.0,50.0,10.141246795654297
